qseqid	sseqid	qstart	qend	sstart	send	evalue	score
gi|290752269|emb|CBH40240.1|	gi|290752569|emb|CBH40541.1|	31	66	62	97	2.7	50
gi|290752269|emb|CBH40240.1|	gi|290752369|emb|CBH40340.1|	72	112	693	742	4.2	49
gi|290752269|emb|CBH40240.1|	gi|290752512|emb|CBH40484.1|	150	214	461	518	5.3	48
gi|290752269|emb|CBH40240.1|	gi|290753068|emb|CBH41044.1|	162	206	100	140	5.4	48
gi|290752269|emb|CBH40240.1|	gi|290752579|emb|CBH40551.1|	78	203	51	189	6.1	48
gi|290752269|emb|CBH40240.1|	gi|290752429|emb|CBH40400.1|	64	106	336	377	9.6	46
gi|290752270|emb|CBH40241.1|	gi|290752270|emb|CBH40241.1|	1	272	1	272	0.0	1442
gi|290752270|emb|CBH40241.1|	gi|290752766|emb|CBH40741.1|	2	263	3	264	2.11e-120	872
gi|290752270|emb|CBH40241.1|	gi|290752269|emb|CBH40240.1|	1	263	1	261	7.66e-113	822
gi|290752270|emb|CBH40241.1|	gi|290752490|emb|CBH40462.1|	3	263	4	263	2.85e-91	680
gi|290752270|emb|CBH40241.1|	gi|290752414|emb|CBH40385.1|	3	263	6	266	1.23e-57	458
gi|290752270|emb|CBH40241.1|	gi|290752985|emb|CBH40961.1|	10	228	15	225	9.84e-13	149
gi|290752270|emb|CBH40241.1|	gi|290752327|emb|CBH40298.1|	9	246	14	252	1.01e-06	102
gi|290752270|emb|CBH40241.1|	gi|290752529|emb|CBH40501.1|	161	195	407	441	0.60	56
gi|290752270|emb|CBH40241.1|	gi|290752911|emb|CBH40886.1|	121	169	2238	2292	0.71	56
gi|290752270|emb|CBH40241.1|	gi|290752911|emb|CBH40886.1|	227	237	2523	2533	9.5	47
gi|290752270|emb|CBH40241.1|	gi|290752344|emb|CBH40315.1|	77	114	39	76	0.76	55
gi|290752270|emb|CBH40241.1|	gi|290752924|emb|CBH40899.1|	19	89	483	558	1.5	53
gi|290752270|emb|CBH40241.1|	gi|290752734|emb|CBH40709.1|	19	89	483	558	1.5	53
gi|290752270|emb|CBH40241.1|	gi|290752556|emb|CBH40528.1|	19	89	483	558	1.5	53
gi|290752270|emb|CBH40241.1|	gi|290752797|emb|CBH40772.1|	136	204	14	76	3.2	50
gi|290752270|emb|CBH40241.1|	gi|290752494|emb|CBH40466.1|	130	190	50	116	3.4	50
gi|290752270|emb|CBH40241.1|	gi|290752296|emb|CBH40267.1|	111	170	114	168	3.5	50
gi|290752270|emb|CBH40241.1|	gi|290752430|emb|CBH40401.1|	199	261	390	459	4.9	49
gi|290752270|emb|CBH40241.1|	gi|290752519|emb|CBH40491.1|	70	105	137	172	5.2	49
gi|290752270|emb|CBH40241.1|	gi|290752469|emb|CBH40441.1|	152	236	59	131	5.9	48
gi|290752270|emb|CBH40241.1|	gi|290752969|emb|CBH40944.1|	32	49	102	118	7.3	46
gi|290752270|emb|CBH40241.1|	gi|290752342|emb|CBH40313.1|	134	174	40	80	8.4	47
gi|290752270|emb|CBH40241.1|	gi|290752302|emb|CBH40273.1|	89	112	571	594	9.2	47
gi|290752270|emb|CBH40241.1|	gi|290752857|emb|CBH40832.1|	67	123	251	309	9.4	46
gi|290752271|emb|CBH40242.1|	gi|290752271|emb|CBH40242.1|	1	392	1	392	0.0	2058
gi|290752271|emb|CBH40242.1|	gi|290752886|emb|CBH40861.1|	31	107	235	317	1.1	56
gi|290752271|emb|CBH40242.1|	gi|290752907|emb|CBH40882.1|	105	164	653	723	1.7	55
gi|290752271|emb|CBH40242.1|	gi|290752589|emb|CBH40561.1|	60	149	10	112	3.8	50
gi|290752271|emb|CBH40242.1|	gi|290752479|emb|CBH40451.1|	191	224	454	484	5.0	50
gi|290752271|emb|CBH40242.1|	gi|290752911|emb|CBH40886.1|	142	224	1024	1107	6.4	50
gi|290752271|emb|CBH40242.1|	gi|290753005|emb|CBH40981.1|	177	219	192	234	8.2	48
gi|290752271|emb|CBH40242.1|	gi|290752303|emb|CBH40274.1|	292	371	192	260	8.5	49
gi|290752271|emb|CBH40242.1|	gi|290752624|emb|CBH40597.1|	1	36	307	340	9.6	48
gi|290752271|emb|CBH40242.1|	gi|290753024|emb|CBH41000.1|	204	253	38	88	9.6	47
gi|290752272|emb|CBH40243.1|	gi|290752272|emb|CBH40243.1|	1	348	1	348	0.0	1812
gi|290752272|emb|CBH40243.1|	gi|290752273|emb|CBH40244.1|	1	345	1	345	0.0	1412
gi|290752272|emb|CBH40243.1|	gi|290752326|emb|CBH40297.1|	48	342	43	325	1.49e-42	367
gi|290752272|emb|CBH40243.1|	gi|290752334|emb|CBH40305.1|	124	220	339	435	0.11	64
gi|290752272|emb|CBH40243.1|	gi|290753068|emb|CBH41044.1|	52	96	204	243	0.52	58
gi|290752272|emb|CBH40243.1|	gi|290752579|emb|CBH40551.1|	20	111	6	94	0.53	58
gi|290752272|emb|CBH40243.1|	gi|290753064|emb|CBH41040.1|	27	78	21	71	1.0	55
gi|290752272|emb|CBH40243.1|	gi|290753082|emb|CBH41058.1|	30	71	1188	1230	1.9	54
gi|290752272|emb|CBH40243.1|	gi|290752846|emb|CBH40821.1|	285	313	7	35	2.1	52
gi|290752272|emb|CBH40243.1|	gi|290752743|emb|CBH40718.1|	184	238	92	143	2.3	52
gi|290752272|emb|CBH40243.1|	gi|290752742|emb|CBH40717.1|	199	229	271	301	3.2	52
gi|290752272|emb|CBH40243.1|	gi|290752303|emb|CBH40274.1|	98	118	1494	1514	4.6	51
gi|290752272|emb|CBH40243.1|	gi|290752303|emb|CBH40274.1|	100	154	2010	2063	9.4	48
gi|290752272|emb|CBH40243.1|	gi|290752274|emb|CBH40245.1|	32	75	65	111	5.0	49
gi|290752272|emb|CBH40243.1|	gi|290752293|emb|CBH40264.1|	92	256	129	316	5.6	50
gi|290752272|emb|CBH40243.1|	gi|290752974|emb|CBH40950.1|	46	65	62	81	6.0	49
gi|290752272|emb|CBH40243.1|	gi|290752423|emb|CBH40394.1|	88	108	255	275	6.0	49
gi|290752272|emb|CBH40243.1|	gi|290752659|emb|CBH40632.1|	117	179	334	405	7.0	48
gi|290752272|emb|CBH40243.1|	gi|290753074|emb|CBH41050.1|	1	61	154	215	7.1	48
gi|290752272|emb|CBH40243.1|	gi|290752706|emb|CBH40680.1|	206	249	372	425	8.4	48
gi|290752272|emb|CBH40243.1|	gi|290753039|emb|CBH41015.1|	58	69	25	36	9.0	47
gi|290752272|emb|CBH40243.1|	gi|290752523|emb|CBH40495.1|	53	93	378	419	9.4	47
gi|290752273|emb|CBH40244.1|	gi|290752273|emb|CBH40244.1|	1	345	1	345	0.0	1803
gi|290752273|emb|CBH40244.1|	gi|290752272|emb|CBH40243.1|	1	345	1	345	0.0	1412
gi|290752273|emb|CBH40244.1|	gi|290752326|emb|CBH40297.1|	43	342	38	325	2.70e-42	365
gi|290752273|emb|CBH40244.1|	gi|290752334|emb|CBH40305.1|	110	220	323	435	0.007	74
gi|290752273|emb|CBH40244.1|	gi|290753068|emb|CBH41044.1|	52	85	204	237	0.12	63
gi|290752273|emb|CBH40244.1|	gi|290752377|emb|CBH40348.1|	197	281	290	381	1.2	55
gi|290752273|emb|CBH40244.1|	gi|290752510|emb|CBH40482.1|	87	219	113	239	1.6	54
gi|290752273|emb|CBH40244.1|	gi|290752501|emb|CBH40473.1|	323	345	312	334	2.2	52
gi|290752273|emb|CBH40244.1|	gi|290752965|emb|CBH40940.1|	262	325	406	482	3.7	51
gi|290752273|emb|CBH40244.1|	gi|290752793|emb|CBH40768.1|	218	242	139	163	3.7	50
gi|290752273|emb|CBH40244.1|	gi|290752894|emb|CBH40869.1|	105	163	114	174	5.9	49
gi|290752273|emb|CBH40244.1|	gi|290752821|emb|CBH40796.1|	81	110	121	145	9.3	47
gi|290752274|emb|CBH40245.1|	gi|290752274|emb|CBH40245.1|	1	289	1	289	0.0	1554
gi|290752274|emb|CBH40245.1|	gi|290752681|emb|CBH40654.1|	133	210	149	239	0.17	60
gi|290752274|emb|CBH40245.1|	gi|290752698|emb|CBH40672.1|	122	154	381	413	1.3	54
gi|290752274|emb|CBH40245.1|	gi|290752715|emb|CBH40689.1|	105	160	54	114	1.8	51
gi|290752274|emb|CBH40245.1|	gi|290752522|emb|CBH40494.1|	145	167	617	639	2.9	51
gi|290752274|emb|CBH40245.1|	gi|290752907|emb|CBH40882.1|	92	246	232	385	3.1	51
gi|290752274|emb|CBH40245.1|	gi|290753026|emb|CBH41002.1|	74	170	40	124	3.4	50
gi|290752274|emb|CBH40245.1|	gi|290752400|emb|CBH40371.1|	182	210	543	571	3.9	50
gi|290752274|emb|CBH40245.1|	gi|290752272|emb|CBH40243.1|	65	111	32	75	4.2	49
gi|290752274|emb|CBH40245.1|	gi|290753041|emb|CBH41017.1|	260	288	112	134	5.9	48
gi|290752274|emb|CBH40245.1|	gi|290752569|emb|CBH40541.1|	197	232	18	53	7.4	46
gi|290752274|emb|CBH40245.1|	gi|290752745|emb|CBH40720.1|	56	83	252	278	8.8	47
gi|290752274|emb|CBH40245.1|	gi|290753046|emb|CBH41022.1|	260	286	112	132	9.2	47
gi|290752274|emb|CBH40245.1|	gi|290752815|emb|CBH40790.1|	260	286	112	132	9.2	47
gi|290752274|emb|CBH40245.1|	gi|290752496|emb|CBH40468.1|	109	153	134	178	9.4	47
gi|290752275|emb|CBH40246.1|	gi|290752275|emb|CBH40246.1|	1	114	1	114	1.09e-81	586
gi|290752275|emb|CBH40246.1|	gi|290752656|emb|CBH40629.1|	1	114	1	114	2.45e-24	210
gi|290752275|emb|CBH40246.1|	gi|290752777|emb|CBH40752.1|	30	60	340	369	0.022	62
gi|290752275|emb|CBH40246.1|	gi|290753052|emb|CBH41028.1|	12	53	59	100	1.0	49
gi|290752275|emb|CBH40246.1|	gi|290752351|emb|CBH40322.1|	83	114	40	67	1.9	47
gi|290752275|emb|CBH40246.1|	gi|290752312|emb|CBH40283.1|	55	99	56	100	4.7	44
gi|290752275|emb|CBH40246.1|	gi|290752860|emb|CBH40835.1|	86	109	327	350	5.3	44
gi|290752275|emb|CBH40246.1|	gi|290752376|emb|CBH40347.1|	61	105	136	171	8.1	42
gi|290752275|emb|CBH40246.1|	gi|290752302|emb|CBH40273.1|	83	113	514	544	8.8	42
gi|290752276|emb|CBH40247.1|	gi|290752276|emb|CBH40247.1|	1	333	1	333	0.0	1764
gi|290752276|emb|CBH40247.1|	gi|290752424|emb|CBH40395.1|	209	235	144	170	3.5	50
gi|290752276|emb|CBH40247.1|	gi|290752649|emb|CBH40622.1|	46	78	613	645	4.2	50
gi|290752276|emb|CBH40247.1|	gi|290752465|emb|CBH40437.1|	102	147	348	388	5.1	50
gi|290752276|emb|CBH40247.1|	gi|290752577|emb|CBH40549.1|	145	210	146	205	6.3	49
gi|290752276|emb|CBH40247.1|	gi|290752373|emb|CBH40344.1|	10	39	290	326	6.9	49
gi|290752276|emb|CBH40247.1|	gi|290752568|emb|CBH40540.1|	250	333	311	413	7.6	48
gi|290752277|emb|CBH40248.1|	gi|290752277|emb|CBH40248.1|	1	272	1	272	0.0	1367
gi|290752277|emb|CBH40248.1|	gi|290753003|emb|CBH40979.1|	46	69	263	286	4.5	49
gi|290752277|emb|CBH40248.1|	gi|290752697|emb|CBH40671.1|	8	50	196	238	5.7	48
gi|290752277|emb|CBH40248.1|	gi|290752485|emb|CBH40457.1|	106	181	555	624	6.0	48
gi|290752278|emb|CBH40249.1|	gi|290752278|emb|CBH40249.1|	1	465	1	465	0.0	2444
gi|290752278|emb|CBH40249.1|	gi|290752422|emb|CBH40393.1|	27	465	163	602	0.0	1740
gi|290752278|emb|CBH40249.1|	gi|290753036|emb|CBH41012.1|	1	36	1	39	5.29e-04	82
gi|290752278|emb|CBH40249.1|	gi|290752812|emb|CBH40787.1|	1	36	1	39	5.29e-04	82
gi|290752278|emb|CBH40249.1|	gi|290753043|emb|CBH41019.1|	1	46	1	45	0.001	80
gi|290752278|emb|CBH40249.1|	gi|290753029|emb|CBH41005.1|	1	27	1	27	0.001	80
gi|290752278|emb|CBH40249.1|	gi|290753052|emb|CBH41028.1|	1	27	1	27	0.002	77
gi|290752278|emb|CBH40249.1|	gi|290753031|emb|CBH41007.1|	1	27	1	27	0.002	78
gi|290752278|emb|CBH40249.1|	gi|290753037|emb|CBH41013.1|	1	27	1	27	0.002	77
gi|290752278|emb|CBH40249.1|	gi|290752818|emb|CBH40793.1|	1	27	1	27	0.002	77
gi|290752278|emb|CBH40249.1|	gi|290752369|emb|CBH40340.1|	2	32	4	35	0.004	77
gi|290752278|emb|CBH40249.1|	gi|290752693|emb|CBH40667.1|	1	26	1	26	0.007	73
gi|290752278|emb|CBH40249.1|	gi|290753044|emb|CBH41020.1|	1	26	1	26	0.023	70
gi|290752278|emb|CBH40249.1|	gi|290753033|emb|CBH41009.1|	1	27	1	27	0.024	70
gi|290752278|emb|CBH40249.1|	gi|290752814|emb|CBH40789.1|	1	27	1	27	0.024	70
gi|290752278|emb|CBH40249.1|	gi|290753046|emb|CBH41022.1|	1	27	1	27	0.032	69
gi|290752278|emb|CBH40249.1|	gi|290752815|emb|CBH40790.1|	1	27	1	27	0.032	69
gi|290752278|emb|CBH40249.1|	gi|290752512|emb|CBH40484.1|	1	27	1	28	0.034	69
gi|290752278|emb|CBH40249.1|	gi|290752692|emb|CBH40666.1|	1	26	1	26	0.034	69
gi|290752278|emb|CBH40249.1|	gi|290753040|emb|CBH41016.1|	1	27	1	27	0.035	68
gi|290752278|emb|CBH40249.1|	gi|290752688|emb|CBH40662.1|	1	27	1	27	0.036	68
gi|290752278|emb|CBH40249.1|	gi|290753034|emb|CBH41010.1|	1	25	1	25	0.059	66
gi|290752278|emb|CBH40249.1|	gi|290752816|emb|CBH40791.1|	1	25	1	25	0.059	66
gi|290752278|emb|CBH40249.1|	gi|290753030|emb|CBH41006.1|	1	27	1	27	0.10	65
gi|290752278|emb|CBH40249.1|	gi|290753045|emb|CBH41021.1|	1	27	1	27	0.13	64
gi|290752278|emb|CBH40249.1|	gi|290753041|emb|CBH41017.1|	1	27	1	27	0.17	63
gi|290752278|emb|CBH40249.1|	gi|290752886|emb|CBH40861.1|	3	26	2	26	0.22	62
gi|290752278|emb|CBH40249.1|	gi|290753035|emb|CBH41011.1|	1	36	1	39	0.40	59
gi|290752278|emb|CBH40249.1|	gi|290752813|emb|CBH40788.1|	1	36	1	39	0.40	59
gi|290752278|emb|CBH40249.1|	gi|290753032|emb|CBH41008.1|	1	103	1	108	0.41	59
gi|290752278|emb|CBH40249.1|	gi|290753042|emb|CBH41018.1|	1	26	1	26	0.52	59
gi|290752278|emb|CBH40249.1|	gi|290752817|emb|CBH40792.1|	1	26	1	26	0.52	59
gi|290752278|emb|CBH40249.1|	gi|290752959|emb|CBH40934.1|	390	418	187	215	0.68	57
gi|290752278|emb|CBH40249.1|	gi|290752286|emb|CBH40257.1|	3	25	4	25	1.1	56
gi|290752278|emb|CBH40249.1|	gi|290752809|emb|CBH40784.1|	110	129	163	182	1.1	55
gi|290752278|emb|CBH40249.1|	gi|290752685|emb|CBH40658.1|	1	25	1	25	1.3	56
gi|290752278|emb|CBH40249.1|	gi|290753048|emb|CBH41024.1|	139	242	228	322	1.5	55
gi|290752278|emb|CBH40249.1|	gi|290752820|emb|CBH40795.1|	139	242	228	322	1.5	55
gi|290752278|emb|CBH40249.1|	gi|290752911|emb|CBH40886.1|	144	214	313	374	1.5	56
gi|290752278|emb|CBH40249.1|	gi|290752911|emb|CBH40886.1|	119	233	2370	2465	4.0	52
gi|290752278|emb|CBH40249.1|	gi|290752423|emb|CBH40394.1|	8	27	21	40	1.9	55
gi|290752278|emb|CBH40249.1|	gi|290752698|emb|CBH40672.1|	135	173	515	556	2.4	54
gi|290752278|emb|CBH40249.1|	gi|290752668|emb|CBH40641.1|	379	444	349	416	2.6	54
gi|290752278|emb|CBH40249.1|	gi|290752785|emb|CBH40760.1|	2	32	3	33	3.4	53
gi|290752278|emb|CBH40249.1|	gi|290752744|emb|CBH40719.1|	1	25	1	25	5.2	51
gi|290752278|emb|CBH40249.1|	gi|290753018|emb|CBH40994.1|	139	242	228	322	5.2	51
gi|290752278|emb|CBH40249.1|	gi|290752811|emb|CBH40786.1|	139	242	228	322	5.2	51
gi|290752278|emb|CBH40249.1|	gi|290752768|emb|CBH40743.1|	139	242	228	322	5.2	51
gi|290752278|emb|CBH40249.1|	gi|290752719|emb|CBH40693.1|	139	242	228	322	5.2	51
gi|290752278|emb|CBH40249.1|	gi|290752643|emb|CBH40616.1|	139	242	228	322	5.2	51
gi|290752278|emb|CBH40249.1|	gi|290752636|emb|CBH40609.1|	139	242	228	322	5.2	51
gi|290752278|emb|CBH40249.1|	gi|290752611|emb|CBH40583.1|	139	242	228	322	5.2	51
gi|290752278|emb|CBH40249.1|	gi|290752473|emb|CBH40445.1|	139	242	228	322	5.2	51
gi|290752278|emb|CBH40249.1|	gi|290752368|emb|CBH40339.1|	139	242	228	322	5.2	51
gi|290752278|emb|CBH40249.1|	gi|290752288|emb|CBH40259.1|	139	242	228	322	5.2	51
gi|290752278|emb|CBH40249.1|	gi|290752539|emb|CBH40511.1|	93	127	589	631	6.0	51
gi|290752278|emb|CBH40249.1|	gi|290752718|emb|CBH40692.1|	342	424	207	294	7.1	49
gi|290752278|emb|CBH40249.1|	gi|290752427|emb|CBH40398.1|	8	63	458	514	8.2	50
gi|290752278|emb|CBH40249.1|	gi|290753084|emb|CBH41060.1|	275	333	6	71	8.5	49
gi|290752279|emb|CBH40250.1|	gi|290752279|emb|CBH40250.1|	1	149	1	149	2.42e-105	748
gi|290752279|emb|CBH40250.1|	gi|290752664|emb|CBH40637.1|	10	140	4	132	1.17e-09	115
gi|290752279|emb|CBH40250.1|	gi|290752303|emb|CBH40274.1|	5	26	1757	1778	2.8	48
gi|290752279|emb|CBH40250.1|	gi|290752303|emb|CBH40274.1|	120	139	2079	2098	3.4	47
gi|290752279|emb|CBH40250.1|	gi|290752945|emb|CBH40920.1|	73	137	66	120	3.2	47
gi|290752279|emb|CBH40250.1|	gi|290752626|emb|CBH40599.1|	60	122	114	173	3.5	46
gi|290752279|emb|CBH40250.1|	gi|290752976|emb|CBH40952.1|	95	125	222	252	5.0	46
gi|290752279|emb|CBH40250.1|	gi|290752953|emb|CBH40928.1|	89	128	260	307	5.9	45
gi|290752279|emb|CBH40250.1|	gi|290752469|emb|CBH40441.1|	119	130	203	214	8.5	44
gi|290752280|emb|CBH40251.1|	gi|290752280|emb|CBH40251.1|	1	534	1	534	0.0	2803
gi|290752280|emb|CBH40251.1|	gi|290752294|emb|CBH40265.1|	25	224	1	191	1.89e-20	213
gi|290752280|emb|CBH40251.1|	gi|290752294|emb|CBH40265.1|	283	502	1	191	0.005	75
gi|290752280|emb|CBH40251.1|	gi|290752743|emb|CBH40718.1|	20	224	19	214	4.12e-17	185
gi|290752280|emb|CBH40251.1|	gi|290752743|emb|CBH40718.1|	262	502	6	214	0.002	78
gi|290752280|emb|CBH40251.1|	gi|290752802|emb|CBH40777.1|	21	226	18	217	4.88e-15	171
gi|290752280|emb|CBH40251.1|	gi|290752802|emb|CBH40777.1|	279	515	18	229	4.58e-06	100
gi|290752280|emb|CBH40251.1|	gi|290752424|emb|CBH40395.1|	7	231	4	214	8.50e-15	168
gi|290752280|emb|CBH40251.1|	gi|290752424|emb|CBH40395.1|	263	503	3	208	2.30e-06	102
gi|290752280|emb|CBH40251.1|	gi|290753081|emb|CBH41057.1|	10	203	128	317	1.91e-13	161
gi|290752280|emb|CBH40251.1|	gi|290753081|emb|CBH41057.1|	263	501	120	336	1.64e-10	137
gi|290752280|emb|CBH40251.1|	gi|290752891|emb|CBH40866.1|	7	462	2	485	1.19e-11	148
gi|290752280|emb|CBH40251.1|	gi|290752891|emb|CBH40866.1|	263	463	1	195	0.002	79
gi|290752280|emb|CBH40251.1|	gi|290752801|emb|CBH40776.1|	279	502	22	244	1.42e-10	137
gi|290752280|emb|CBH40251.1|	gi|290752801|emb|CBH40776.1|	19	229	20	252	8.08e-09	123
gi|290752280|emb|CBH40251.1|	gi|290752299|emb|CBH40270.1|	26	224	118	327	2.49e-10	137
gi|290752280|emb|CBH40251.1|	gi|290752299|emb|CBH40270.1|	264	503	99	328	5.81e-06	101
gi|290752280|emb|CBH40251.1|	gi|290752787|emb|CBH40762.1|	6	102	45	138	4.49e-10	136
gi|290752280|emb|CBH40251.1|	gi|290752787|emb|CBH40762.1|	139	223	468	553	6.70e-04	84
gi|290752280|emb|CBH40251.1|	gi|290752787|emb|CBH40762.1|	424	512	475	565	0.001	82
gi|290752280|emb|CBH40251.1|	gi|290752787|emb|CBH40762.1|	276	334	57	115	0.010	75
gi|290752280|emb|CBH40251.1|	gi|290752591|emb|CBH40563.1|	24	223	385	579	1.26e-09	132
gi|290752280|emb|CBH40251.1|	gi|290752591|emb|CBH40563.1|	264	331	365	435	1.37e-07	115
gi|290752280|emb|CBH40251.1|	gi|290752894|emb|CBH40869.1|	21	218	373	562	1.02e-07	116
gi|290752280|emb|CBH40251.1|	gi|290752894|emb|CBH40869.1|	254	455	348	524	0.003	78
gi|290752280|emb|CBH40251.1|	gi|290752391|emb|CBH40362.1|	5	231	10	316	1.22e-07	115
gi|290752280|emb|CBH40251.1|	gi|290752391|emb|CBH40362.1|	424	501	231	309	1.74e-05	97
gi|290752280|emb|CBH40251.1|	gi|290752391|emb|CBH40362.1|	261	327	9	74	0.005	77
gi|290752280|emb|CBH40251.1|	gi|290752893|emb|CBH40868.1|	11	224	369	586	1.49e-06	106
gi|290752280|emb|CBH40251.1|	gi|290752893|emb|CBH40868.1|	264	503	370	587	1.39e-05	98
gi|290752280|emb|CBH40251.1|	gi|290752526|emb|CBH40498.1|	142	242	200	303	2.52e-06	103
gi|290752280|emb|CBH40251.1|	gi|290752526|emb|CBH40498.1|	23	70	23	70	2.16e-04	87
gi|290752280|emb|CBH40251.1|	gi|290752526|emb|CBH40498.1|	280	370	22	105	0.016	72
gi|290752280|emb|CBH40251.1|	gi|290752526|emb|CBH40498.1|	424	455	204	235	0.82	58
gi|290752280|emb|CBH40251.1|	gi|290752668|emb|CBH40641.1|	117	211	798	899	6.76e-06	101
gi|290752280|emb|CBH40251.1|	gi|290752668|emb|CBH40641.1|	129	315	462	661	0.010	75
gi|290752280|emb|CBH40251.1|	gi|290752298|emb|CBH40269.1|	424	507	282	366	1.37e-05	98
gi|290752280|emb|CBH40251.1|	gi|290752298|emb|CBH40269.1|	151	224	287	361	8.41e-04	83
gi|290752280|emb|CBH40251.1|	gi|290752298|emb|CBH40269.1|	254	351	27	120	0.002	81
gi|290752280|emb|CBH40251.1|	gi|290752298|emb|CBH40269.1|	14	65	52	100	0.016	72
gi|290752280|emb|CBH40251.1|	gi|290752979|emb|CBH40955.1|	29	71	36	78	6.52e-05	92
gi|290752280|emb|CBH40251.1|	gi|290752979|emb|CBH40955.1|	139	223	207	292	2.96e-04	87
gi|290752280|emb|CBH40251.1|	gi|290752979|emb|CBH40955.1|	418	501	208	292	5.99e-04	84
